knob,knob_value,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,drop_pkpk_A,energy_mean
dither_amp_v,0.006,1000,0,0.7335760498046877,0.005236816406249956,0.0011482283278470876,1.9972285178881755e-05,6.327549708329277e-06,10918.566666666668
dither_amp_v,0.006,2000,0,0.7396223667689732,0.004229736328125067,0.0010234211394295912,1.5732170300561858e-05,5.221132029778606e-06,17185.152380952382
dither_amp_v,0.006,5000,0,0.7281838553292413,0.007049560546875,0.0020094835653859757,2.1989057099646682e-05,5.221375778359357e-06,20883.280952380952
settling_us,5,25,0,0.738855691217567,0.007049560546875,0.0012327823220638185,1.6219747248044124e-05,5.6742196145880645e-06,248937.00330722367
dither_amp_v,0.006,100,0,0.738705844924672,0.0028198242187499334,0.0005515247502780024,1.6323660257506213e-05,4.21168516171503e-06,16297.126491646777
dither_amp_v,0.012,200,0,0.7396473039899554,0.0040283203125,0.0009563580989161229,1.564894189297204e-05,5.046440461044391e-06,63373.747619047615
dither_amp_v,0.012,500,0,0.7398659842354911,0.005841064453124933,0.0014475416555708926,1.5553447333167648e-05,6.793413902942706e-06,62981.20476190476
dither_amp_v,0.012,1000,0,0.7323733084542411,0.004833984374999933,0.001136341627798931,2.0686359773028092e-05,5.990637986367778e-06,31166.033333333333
settling_us,25,25,0,0.7385264049305991,0.005236816406249956,0.0009535349837853884,1.6474090664308853e-05,6.000203766540547e-06,254184.66815907296
dither_amp_v,0.012,2000,0,0.7393845040457591,0.007250976562500067,0.0016988791628209266,1.5927823919582437e-05,7.593507453588993e-06,63843.461904761905
dither_amp_v,0.012,5000,0,0.733263375418527,0.006445312499999911,0.0018577833499901126,2.0111602426802095e-05,6.2077118595833616e-06,50729.95714285714
dither_amp_v,0.012,100,0,0.7387779508968526,0.004632568359374978,0.0009356284533786372,1.6277549460743675e-05,5.243748368751413e-06,63883.02625298329
settling_us,400,25,0,0.7386774590674867,0.003424072265625022,0.0006503266903821494,1.63420344351684e-05,4.3737668056106075e-06,254447.34235976788
dither_amp_v,0.024,200,0,0.7391600690569197,0.004632568359374978,0.0014154696207152,1.599661933954421e-05,5.8626619031172406e-06,249687.60476190477
dither_amp_v,0.024,500,0,0.7379247174944196,0.005841064453125044,0.00139687725750634,1.6976707938942858e-05,6.969529176265062e-06,251204.29047619048
